Current Unix Time (s),Milliseconds (ms),ADCS State,Attitude Estimation Mode,Control Mode,CubeControl Signal Enabled,CubeControl Motor Enabled,CubeSense Enabled,GPS Receiver Enabled,GPS LNA Power Enabled,Motor Driver Enabled,Magnetometer Deployment Enabled,Configuration Load Error,Orbit Parameters Load Error,CubeSense Communications Error,CubeControl Signal Communications Error,CubeControl Motor Communications Error,CubeSense Node Identification Error,CubeControl Signal Identification Error,CubeControl Motor Identification Error,Magnetometer Deployment Power Error,1s Control Loop Time Exceeded,Magnetometer Range Error,Sun Sensor Overcurrent Detected,Sun Sensor Busy Error,Sun Sensor Detection Error,Wheel Control Error,Nadir Sensor Overcurrent Detected,Nadir Sensor Busy Error,Nadir Sensor Detection Error,Estimation Error,Rate Sensor Range Error,Wheel Speed Range Error,Coarse Sun Sensor Error,Orbit Parameters are Invalid,Configuration is Invalid,Control Mode Change is not allowed,Estimator Change is not allowed,Modelled and measured magnetic field differs in size,SRAM Latch-up Error,SD Card Error,Node Recovery Error,Steady-State Y-Thomson detected,TRIAD and EKF reports same attitude,Sun is Above Local Horizon,Estimated Roll Angle (deg),Estimated Pitch Angle (deg),Estimated Yaw Angle (deg),Estimated X Anglular Rate (deg/s),Estimated Y Anglular Rate (deg/s),Estimated Z Anglular Rate (deg/s),Magnetic Field X (nT),Magnetic Field X (nT),Magnetic Field X (nT),Coarse Sun X,Coarse Sun Y,Coarse Sun Z,X Angular Rate (deg/s),Y Angular Rate (deg/s),Z Angular Rate (deg/s),CSS1,CSS2,CSS3,CSS4,CSS5,CSS6,MagX,MagY,MagZ,
1501306941,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-119.62,0,0.68,0.43,-0.5,-29070,-8480,-32900,-0.767425537109375,0.5928955078125,0.243896484375,0,0.57,0,9,29,8,70,91,96,-15099,15994,6946,
1501306942,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-119.57,0,1.06,0.41,-0.19,-28810,-9410,-32620,-0.769256591796875,0.60504150390625,0.20526123046875,0,0.57,0,4,23,4,70,89,94,-14989,15879,7383,
1501306943,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-119.41,0,0.97,0.39,-0.3,-28490,-10120,-32700,-0.77532958984375,0.602081298828125,0.190582275390625,0,0.57,0,4,22,4,69,89,95,-15035,15746,7725,
1501306944,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-119.23,0,0.85,0.37,-0.35,-28200,-10730,-32750,-0.78094482421875,0.598724365234375,0.1778564453125,0,0.57,0,4,20,4,69,90,96,-15065,15627,8014,
1501306945,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-119.05,0,0.77,0.36,-0.38,-27920,-11360,-32800,-0.787506103515625,0.596038818359375,0.1566162109375,0,0.57,0,4,18,4,68,90,97,-15092,15506,8317,
1501306946,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-118.71,0,0.45,0.36,-0.55,-27640,-11750,-33140,-0.79937744140625,0.58038330078125,0.155181884765625,0,0.57,0,9,18,8,68,94,100,-15246,15393,8509,
1501306947,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-110.78,0,-6.93,2.75,-1.45,-19340,3120,-37070,-0.803375244140625,0.575347900390625,0.153411865234375,0,0.57,0,9,18,8,67,94,101,-16531,11820,1445,
1501306948,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-114.86,0,2.4,2.62,0.07,-27010,-13080,-32820,-0.801239013671875,0.581329345703125,0.141510009765625,0,0.55,0,4,16,4,66,92,99,-15122,15124,9134,
1501306949,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-116.22,0,2.74,2.49,0.69,-26730,-13570,-32890,-0.807098388671875,0.57806396484375,0.119964599609375,0,0.54,0,4,13,4,66,92,100,-15160,15005,9372,
1501306950,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-116.6,0,2.95,2.44,1.22,-26440,-14080,-32960,-0.8128662109375,0.572479248046875,0.1070556640625,0,0.54,0,4,12,4,65,93,100,-15195,14881,9613,
